NC_010554.1 Proteus mirabilis HI4320, complete genome
NZ_LJCS01000183.1 Photorhabdus heterorhabditis strain VMG contig183, whole genome shotgun sequence
NZ_LJCS01000184.1 Photorhabdus heterorhabditis strain VMG contig184, whole genome shotgun sequence
NZ_LJCS01000185.1 Photorhabdus heterorhabditis strain VMG contig185, whole genome shotgun sequence
NZ_LJCS01000186.1 Photorhabdus heterorhabditis strain VMG contig186, whole genome shotgun sequence
NZ_LJCS01000187.1 Photorhabdus heterorhabditis strain VMG contig187, whole genome shotgun sequence
NZ_LJCS01000188.1 Photorhabdus heterorhabditis strain VMG contig188, whole genome shotgun sequence
NZ_LJCS01000189.1 Photorhabdus heterorhabditis strain VMG contig189, whole genome shotgun sequence
NZ_LJCS01000190.1 Photorhabdus heterorhabditis strain VMG contig190, whole genome shotgun sequence
NZ_LJCS01000191.1 Photorhabdus heterorhabditis strain VMG contig191, whole genome shotgun sequence
NZ_LJCS01000192.1 Photorhabdus heterorhabditis strain VMG contig192, whole genome shotgun sequence
NZ_LJCS01000193.1 Photorhabdus heterorhabditis strain VMG contig193, whole genome shotgun sequence
NZ_LJCS01000194.1 Photorhabdus heterorhabditis strain VMG contig194, whole genome shotgun sequence
NZ_LJCS01000195.1 Photorhabdus heterorhabditis strain VMG contig195, whole genome shotgun sequence
NZ_LJCS01000196.1 Photorhabdus heterorhabditis strain VMG contig196, whole genome shotgun sequence
NZ_LJCS01000197.1 Photorhabdus heterorhabditis strain VMG contig197, whole genome shotgun sequence
NZ_LJCS01000198.1 Photorhabdus heterorhabditis strain VMG contig198, whole genome shotgun sequence
NZ_LJCS01000199.1 Photorhabdus heterorhabditis strain VMG contig199, whole genome shotgun sequence
NZ_LJCS01000200.1 Photorhabdus heterorhabditis strain VMG contig200, whole genome shotgun sequence
NZ_LJCS01000201.1 Photorhabdus heterorhabditis strain VMG contig201, whole genome shotgun sequence
NZ_LJCS01000202.1 Photorhabdus heterorhabditis strain VMG contig202, whole genome shotgun sequence
NZ_LJCS01000203.1 Photorhabdus heterorhabditis strain VMG contig203, whole genome shotgun sequence
NZ_LJCS01000204.1 Photorhabdus heterorhabditis strain VMG contig204, whole genome shotgun sequence
NZ_LJCS01000205.1 Photorhabdus heterorhabditis strain VMG contig205, whole genome shotgun sequence
NZ_LJCS01000206.1 Photorhabdus heterorhabditis strain VMG contig206, whole genome shotgun sequence
NZ_LJCS01000207.1 Photorhabdus heterorhabditis strain VMG contig207, whole genome shotgun sequence
NZ_LJCS01000208.1 Photorhabdus heterorhabditis strain VMG contig208, whole genome shotgun sequence
NZ_LJCS01000209.1 Photorhabdus heterorhabditis strain VMG contig209, whole genome shotgun sequence
